producto,presentacion,codigo,categoria_id
JERINGA DESCARTABLE 20ML 50 UNID,UNIDAD ,6971077610079,1
JERINGA DESCARTABLE 3ML 100 UNID,UNIDAD ,7597830001701,1
JERINGA DESCARTABLE 5ML 100 UNID,UNIDAD ,6971077610055,1
KIT DE NEBULIZAR PEDIATRICO VALEMEDIC,UNIDAD ,6971077612349,1
SCALP 21G CAJA 100UND ,UNIDAD ,20250910,1
SCALP 23G CAJA 100UND ,CAJA ,6971077611090,1
TAPA BOCAS PAQ 50U,UNIDAD ,6973198989896,1
ALGODÓN 500GRS - ROLLO,UNIDAD ,7597830003989,1
CURITA REDONDA 7/8 (22 MM) 100U ,UNIDAD ,0721688715092,1
BAJA LENGUA DE MADERA ,CAJA,18072026,1
CATETER INTRAVENOSO 22FR ,UNIDAD ,810028133792,1
CATETER INTRAVENOSO 20FR ,UNIDAD,0117595059001295,1
ELECTROLITE UI,UNIDAD,8906148420781,1
EQUIPOS MEDICOS ,UNIDAD,CODIGO,1
GLUCOMETRO ,UNIDAD,000111,2
LANCETAS ,UNIDAD,000112,2
TIRAS REACTIVAS CAJA x 50U ,UNIDAD,883489310392,2
TENSIOMETRO ANAIROIDE  ,UNIDAD,000113,2
OXIMETRO ,UNIDAD,000102,2
TERMOMETRO DIGITAL ,UNIDAD,000115,2
NEBULIZADOR DE COMPRESOR ,UNIDAD,0617529188784,2
TERMOMETRO DIGITAL NOVIX ,UNIDAD,10100014404,2
TERMOMETRO DIGITAL KX MEDICAL ,UNIDAD,000813333014435010202409219,2
PULMO-AIDE ,UNIDAD,000115,2
CAJA DE DESECHOS BIOLOGICOS ,UNIDAD,0013L,2
TERMOMETRO DE MERCURIO PLUSMEDIC ,UNIDAD,001023,2
TERMOMETRO DIGITAL ANYCARE ,UNIDAD,6931562704058,2
PILAS AAA PHILIPS 2UND ,UNIDAD,8712581544226,2
PILAS AA PHILIPS 2UND ,UNIDAD,8712581544195,1
TENSIOMETRO ELECTRONICO MEDIC HOME ,UNIDAD,000101,1
DIVAN PARA EXAMEN MEDICO FIJO ,UNIDAD,00110,1
CAMILLA AJUSTABLE PORTATIL ,UNIDAD,C00001057,1
ESCABEL DE UN PASO ESMALTADO ,UNIDAD,00114,1
BASCULA DIGITAL ,UNIDAD,6939379841492,1
PARAL PARA SUERO ESMALTADO ,UNIDAD,00142,1
